,target_class
2025-08-21 18:00:00,0.0
2025-08-21 22:00:00,0.0
2025-08-21 22:00:00,0.0
2025-08-22 02:00:00,0.0
2025-08-22 02:00:00,0.0
2025-08-22 02:00:00,0.0
2025-08-22 06:00:00,0.0
2025-08-22 06:00:00,0.0
2025-08-22 06:00:00,0.0
2025-08-22 06:00:00,0.0
2025-08-22 10:00:00,1.0
2025-08-22 10:00:00,1.0
2025-08-22 10:00:00,1.0
2025-08-22 10:00:00,1.0
2025-08-22 10:00:00,1.0
2025-08-22 14:00:00,1.0
2025-08-22 14:00:00,1.0
2025-08-22 14:00:00,1.0
2025-08-22 14:00:00,1.0
2025-08-22 14:00:00,1.0
2025-08-22 14:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 18:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-22 22:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 02:00:00,1.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 06:00:00,0.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 10:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 14:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 18:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-23 22:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 02:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 06:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
2025-08-24 10:00:00,1.0
